key,gi,source,note
쌀밥,83,"p46 White rice, NS, boiled (China 2005)","백미밥 대표값. 국제표 내 개별 실측 52~96 편차 큼, 동아시아 단립종에 가까운 값 채택"
현미밥,77,"p44 Brown rice: China 2005 87±2 · Australia(SunRice) 2013 65±4, 78±5 (3건 평균)","인스턴트 현미(88, p48)는 제외하고 일반 취반 3건만 평균"
보리밥,58,"p38 Barley, pearled (Orzo, Barilla, Italy) 2009 58±8","[재검토] 실제 레코드 7건(쌀보리·누리찰·호강·겉보리·큰알보리1호·흑수청찰·플레인, 모두 rep_name=보리밥)은 전부 품종명뿐 조리법 표기가 없어, 이름만으로는 압맥/할맥 여부를 알 수 없음. 같은 데이터셋의 원물 보리(대표식품명=보리) 쪽엔 겉보리 조곡(생것, 섬유질 19.6g/100g건조)·할맥(17.0g)·압맥(11.0g)·도정 생것(10.9g)이 모두 있어 가공도별 섬유질 구간을 비교할 수 있다. 보리밥 쪽 조리된 섬유질(1.9~4.2g/100g)을 취반 시 수분흡수 배율(쌀밥·현미밥과 같은 방식으로 역산, 약 3~5배)로 나눠 원물 섬유질을 추정하면 9.5~12.8g/100g대로 나와 압맥/도정(10.9~11.0g)과 거의 일치하고, 할맥(17.0g)·조곡(19.6g)과는 어긋난다(그 경우 배율이 6~7배로 튀어 다른 곡물과 패턴이 안 맞음). 즉 이 데이터셋의 보리밥은 도정(=pearled급) 처리 보리로 지은 밥일 가능성이 높다 — pearled 값(58) 유지. PDF에 'Barley (mean of 20 foods) = 30'(p38) 이라는 대표값이 있지만 채택하지 않음: 이 평균은 보리빵·보리 시리얼바·보리 파스타(GI 44~71)까지 섞은 20건의 평균이라 '밥처럼 지어 먹는 보리'라는 단일 식품형태를 대표하지 못함(식빵/감자삶기 등에서 쓰는 mean 과는 성격이 다름). 통보리 삶은것(35, 33, pot barley — 도정 안 한 hulled barley)은 섬유질 역산 결과와 안 맞아 제외."
찹쌀밥,88,"p47-48 Sticky rice (China 2005): 682=87±2, 683=88±2 (개별 실측 50~92 중 중앙값권)",찰기 있는 찹쌀 취반. 연구 간 50~92로 편차 크며 중앙값권 채택
귀리,50,"p31 Porridge, steel-cut oats, cooked: Australia 2003 48±5 · USA 2003 52±4 (2건 평균)","누른/압착 오트밀이 아닌 스틸컷 오트밀 기준(즉석 오트밀은 83~87로 더 높음, 제외)"
식빵,73,"p19 White wheat flour bread, mean of 35 foods = 73",PDF 요약행. 통밀식빵 등 변종도 같은 rep_name 을 공유해 이 값을 받는다(안전한 방향: 통밀은 실제보다 약간 높게 표시됨)
국수 삶기,46,"p102 Wheat noodle, dried, boiled (China 2005) 46±2",밀가루국수(소면/중면/칼국수/우동 등 삶은 것) 대표값
메밀국수,59,p101 Buckwheat noodles (China 2005) 59±1,
당면 삶기,14,"p101 Noodles, potato (China 2005) 14±1 — 감자/고구마 전분국수 실측치",당면(고구마 전분국수)의 가장 가까운 실측 유사품. 저항전분 특성상 매우 낮은 GI
스파게티,47,"p100 White spaghetti, boiled, mean of 11 foods = 47","일반 스파게티/파스타 요리 대표값(소스 유무 무관하게 적용, 소스의 지방·단백질은 보통 GI를 낮추는 방향이라 과대평가 쪽으로 안전)"
파스타 삶기,47,"p100 White spaghetti, boiled, mean of 11 foods = 47",마카로니 등 삶은 파스타류. 스파게티와 동일값 사용
도넛,75,p6 Doughnut (Oman 2020) 75±3,
와플,55,"p63 Waffle cone (Wendy's Supa Sundaes, Australia 2006) 55±6",와플콘 실측값. 일반 와플과 반죽 배합이 유사해 근사치로 사용
머핀,53,"p4 Muffins, mean of 13 foods = 53",
시리얼,80,"p27 Cornflakes, mean of 10 foods = 80",콘플레이크 기준 대표값. 그래놀라/뮤즐리 등은 더 낮음(53~55)이나 가장 대중적인 시리얼 기준 채택
비스킷/쿠키/크래커,51,p58 Cracker (France 2019) 851=51±4,크래커 대표값. 쿠키/과자 종류에 따라 22~91로 편차 매우 큼 — 참고용으로만 사용 권장
감자 삶기,73,"p123 Boiled potato, mean of 29 studies = 73",
감자 굽기,88,"p121 Pontiac potato, peeled, baked (Australia 1998) 93±11 · p121 Irish potato, peeled, baked (Jamaica 2005) 83±6 (2건 평균)",
감자 찌기,62,"p125 Potato, NS, steamed (China 2005) 1873=62±2",
고구마 삶기,46,"p127 Boiled sweet potato, mean of 13 studies = 46",
