key,note
# 술. 이 목록에 있는 것은 신호등을 '주의'(노랑)로 고정한다.
#
# ── 왜 예외인가 ──
# 이 앱의 규칙 1~4 는 전부 '탄수화물이 혈당을 얼마나 올리는가' 를 잰다.
# 알코올은 탄수화물이 아니라서 그 자에 아예 안 걸린다. 게다가 작용 방향이
# 반대다 — 알코올은 간에서 포도당 만드는 것을 막아 혈당을 '떨어뜨린다'.
# 당뇨약(특히 인슐린·설포닐우레아)을 드시면 마신 뒤 몇 시간에서 다음 날
# 아침 사이, 자는 동안 저혈당이 올 수 있다.
#
# 그 결과 규칙 1(소화탄수화물 5g 이하 → 초록)이 술을 전부 초록으로 만들었다.
# 소주는 소화탄수화물이 0.08g 이라 화면에 이렇게 떴다.
#     소주 / 좋음 / 탄수화물이 적어 혈당에 거의 영향 없어요
# caution.csv 로 저혈당 주의 문구를 붙여두었지만, 초록불과 '좋음' 과
# '혈당에 거의 영향 없어요' 를 먼저 읽고 나면 그 아래 경고는 안 읽힌다.
#
# ── 왜 빨강이 아니라 노랑인가 ──
# 대한당뇨병학회 진료지침의 음주 권고는 금지가 아니라 제한이다 —
# 삼가는 것이 좋으나 마신다면 하루 1~2잔 이내. '피하기'(빨강)라고 하면
# 지침보다 강한 말이 되어 '학회 기준' 이라고 할 수 없다.
#
# ── 무엇이 이 목록에 들어가는가 ──
# 술 그 자체만이다. 등급 조정 수단이 아니다. 조리에 쓰는 맛술·청주처럼
# 알코올이 날아가는 것은 넣지 않는다. 열량이 높다거나 몸에 안 좋다는
# 이유로 여기에 넣지 마라 — 그것은 규칙 1~4 가 판단할 일이다.
#
# 등급은 이 표가, 저혈당 설명은 caution.csv 가 담당한다. 둘 다에 적어야
# 한다(build/tests/test_alcohol.py 의 test_술마다_주의문구도_있다 가 막는다).
#
# 원본 데이터(식약처 3개 CSV)에는 알코올 컬럼이 아예 없다 — 확인했다.
# 그래서 영양성분으로는 술인지 알 방법이 없고 이름으로 적을 수밖에 없다.
소주,"증류주 17.8%. 소화탄수화물 0.08g 이라 규칙 1 로 초록이 됐었다. 100g 127kcal 이 사실상 전부 알코올이다(17.8g × 7kcal = 125kcal)"
맥주,"발효주 4.5%. 소화탄수화물 3.27g 이라 규칙 1 로 초록이 됐었다. 맥아당 때문에 GI 자체는 높게 보고되나(문헌값 편차가 커서 gi_map.csv 에 넣지 않았다) 한 잔의 탄수화물 총량은 식빵 한 쪽 수준이다"
와인,"적포도주 13%. 소화탄수화물 0.35g 이라 규칙 1 로 초록이 됐었다"
막걸리,"발효주. 소화탄수화물 0.70g 이라 규칙 1 로 초록이 됐었다. 네 가지 중 도수가 가장 낮지만 같은 이유로 판정 체계 밖이다"
